DrugName_norm,DrugClass
gunacell,"Acidifying Activity, Analogs/Derivatives, Anti-coagulant, Ascorbic Acid, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Calculi Dissolution Agent, Carnitine Analog, Carnitine, Cations, Divalent, Decreased Coagulation Factor Activity, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Magnesium Ion Exchange Activity, Magnetic Resonance Contrast Activity, Magnetic Resonance Contrast Activity, Nicotinic Acid, Nicotinic Acids, Osmotic Activity, Osmotic Laxative, Paramagnetic Contrast Agent, Paramagnetic Contrast Agent, Stimulation Large Intestine Fluid/Electrolyte Secretion, Vitamin B 6, Vitamin B6 Analog, Vitamin C"
b complex mix system formula,"Acidifying Activity, Analogs/Derivatives, Anti-coagulant, Ascorbic Acid, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Magnetic Resonance Contrast Activity, Nicotinic Acid, Nicotinic Acids, Paramagnetic Contrast Agent, Vitamin B 12, Vitamin B 6, Vitamin B Complex Member, Vitamin B Complex, Vitamin B12, Vitamin B6 Analog, Vitamin C"
alka seltzer original,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Nonsteroidal Anti-inflammatory Drug, Osmotic Activity, Osmotic Laxative, Platelet Aggregation Inhibitor"
alkaseltzer extra strength,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Nonsteroidal Anti-inflammatory Drug, Osmotic Activity, Osmotic Laxative, Platelet Aggregation Inhibitor"
best choice effervescent antacid pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
bromo seltzer,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
cvs health antacid and pain reliever,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
cvs health extra strength antacid and pain reliever,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
care one original antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
dg health effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
dr juans santo remedio para la acidez,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
drug mart effervescent pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
equaline effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
equate effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
equate extra strength effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
family care effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
family wellness effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
freds effervescent antacid pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
good sense effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
heb extra strength effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
kroger effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
leader effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
leader extra strength effervescent antacid and pain reliever,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
meijer effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
publix fast relief effervescent,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
quality choice effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
quality choice extra strength effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
rite aid antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
signature care effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
smart sense effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
top value effervescent pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
topcare effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
up and up antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
walgreens effervescent pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
winco foods effervescent antacid and pain relief,"Acidifying Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
iypoly,"Acidifying Activity, Anti-coagulant, Antigen Neutralization, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Human Immunoglobulin G, Immunoglobulins, Passively Acquired Immunity"
a01,"Acidifying Activity, Anti-coagulant, Antimalarial, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Calculi Dissolution Agent, Cations, Divalent, Decreased Coagulation Factor Activity, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Magnesium Ion Exchange Activity, Osmotic Activity, Osmotic Activity, Osmotic Activity, Osmotic Activity, Osmotic Laxative, Osmotic Laxative, Osmotic Laxative, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
